index	date	time	participant	sex	age	fluency	practice	itemNr	item	itemFreq	presentedItem	testResp	correct	testRespOrder	testRespArr	testTimeArr	judgmentType	ratingItem	ratingTrial	rating	ratingTime	studyTrial	studyTime	studyItem	totalExpTime	startInfoTime	participantInputTime	ratingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	psych_student	firstTime	consent	consentTime	previouslyUsedPnumber	belief	firstEnglish	languageText	disturbed	disturbedText	ratingEffort	studyEffort	computerText	screen_width	screen_height	screen_availWidth	screen_availHeight
0	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	high	no	1	bucket	10.02	BUCKET	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
1	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	low	no	2	branch	10.08	bRaNcH	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
2	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	high	no	3	sunset	10.31	SUNSET	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
3	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	low	no	4	barrel	10.63	bArReL	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
4	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	high	no	5	wizard	10.63	WIZARD	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
5	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	low	no	6	banana	10.73	bAnAnA	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
6	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	high	no	7	potato	11.29	POTATO	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
7	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	low	no	8	pillow	11.39	pIlLoW	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
8	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	high	no	9	carpet	11.65	CARPET	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
9	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	low	no	10	picnic	11.69	pIcNiC	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
10	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	low	no	11	farmer	11.84	fArMeR	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
11	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	low	no	12	rocket	11.84	rOcKeT	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
12	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	high	no	13	tattoo	11.96	TATTOO	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
13	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	high	no	14	sailor	12.39	SAILOR	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
14	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	low	no	15	hammer	12.47	hAmMeR	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
15	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	high	no	16	string	12.67	STRING	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
16	Sun Mar 12 2017	16:16:40 GMT-0400 (EDT)	21	female	asda	high	no	17	cattle	13.22	CATTLE	x	0	x	x	x	EOL	x	x	x	x	x	x	x	17363	818	3332	0	0	0	0	yes	yes	yes	10652	no	x	x	x	x	x	x	x	x	1440	900	1436	877
