index	date	time	participant	sex	age	itemType	itemNr	item	itemDiff	oldOrNew	testItem	testResp	correct	testTrial	testTime	judgmentType	ratingItem	studyRatingTrial	studyRatingItem	studyTime	rating	ratingTime	noteReadingItem	noteReadingTrial	noteReadingItemText	noteReadingRespArr	noteReadingRespTime	noteReadingCorrect	totalExpTime	startInfoTime	backgroundInputTime	studyRatingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	noteReadingInfoTime	psych_student	firstTime	consent	consentTime	previouslyUsedPnumber	q_pianoTime	q_pianoLessonTime	q_currentlyPlaying	q_timeSinceStoppedPlaying	q_playingProficiency	q_sightReadingProficiency	q_byEarProficiency	q_musicTheory	q_musicTheoryText	q_otherInstrument	q_otherInstrumentText	q_belief	q_firstEnglish	q_languageText	q_disturbed	q_disturbedText	q_ratingEffort	q_studyEffort	q_computerText	screen_width	screen_height	screen_availWidth	screen_availHeight
0	Fri Mar 10 2017	09:54:07 GMT-0500 (EST)	7	undefined	undefined	main	1	pic1	1	old	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	10463	0	0	0	0	0	0	0	undefined	undefined	yes	8909	no	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
1	Fri Mar 10 2017	09:54:07 GMT-0500 (EST)	7	undefined	undefined	main	2	pic2	1	old	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	10463	0	0	0	0	0	0	0	undefined	undefined	yes	8909	no	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
2	Fri Mar 10 2017	09:54:07 GMT-0500 (EST)	7	undefined	undefined	main	3	pic3	1	new	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	10463	0	0	0	0	0	0	0	undefined	undefined	yes	8909	no	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
3	Fri Mar 10 2017	09:54:07 GMT-0500 (EST)	7	undefined	undefined	main	4	pic4	1	new	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	10463	0	0	0	0	0	0	0	undefined	undefined	yes	8909	no	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
4	Fri Mar 10 2017	09:54:07 GMT-0500 (EST)	7	undefined	undefined	main	5	pic5	1	new	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	10463	0	0	0	0	0	0	0	undefined	undefined	yes	8909	no	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
5	Fri Mar 10 2017	09:54:07 GMT-0500 (EST)	7	undefined	undefined	main	6	pic6	1	old	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	10463	0	0	0	0	0	0	0	undefined	undefined	yes	8909	no	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
6	Fri Mar 10 2017	09:54:07 GMT-0500 (EST)	7	undefined	undefined	main	7	pic7	1	new	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	10463	0	0	0	0	0	0	0	undefined	undefined	yes	8909	no	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
7	Fri Mar 10 2017	09:54:07 GMT-0500 (EST)	7	undefined	undefined	main	8	pic8	1	old	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	10463	0	0	0	0	0	0	0	undefined	undefined	yes	8909	no	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
8	Fri Mar 10 2017	09:54:07 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR1	noteReading1	1	x	x	x	0	x	x		x	x	x	x	x	x	x	x	ABC	x	x	x	10463	0	0	0	0	0	0	0	undefined	undefined	yes	8909	no	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
9	Fri Mar 10 2017	09:54:07 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR2	noteReading2	1	x	x	x	0	x	x		x	x	x	x	x	x	x	x	ABC	x	x	x	10463	0	0	0	0	0	0	0	undefined	undefined	yes	8909	no	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
10	Fri Mar 10 2017	09:54:07 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR3	noteReading3	1	x	x	x	0	x	x		x	x	x	x	x	x	x	x	ABC	x	x	x	10463	0	0	0	0	0	0	0	undefined	undefined	yes	8909	no	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
11	Fri Mar 10 2017	09:54:07 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR4	noteReading4	1	x	x	x	0	x	x		x	x	x	x	x	x	x	x	ABC	x	x	x	10463	0	0	0	0	0	0	0	undefined	undefined	yes	8909	no	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
